setting,replicate,b,h,estimate,error,analytic_uniform_bias,note
b=0,270,0.0,0.3,0.1425829698646056,0.1425829698646056,0.12,Uniform NW fixed-bandwidth sanity check
b=2,270,2.0,0.3,0.15955273114405,0.15955273114405,0.12,Uniform NW fixed-bandwidth sanity check
b=0,271,0.0,0.3,0.2033672646789378,0.2033672646789378,0.12,Uniform NW fixed-bandwidth sanity check
b=2,271,2.0,0.3,0.20484055161990194,0.20484055161990194,0.12,Uniform NW fixed-bandwidth sanity check
b=0,272,0.0,0.3,0.2695100159167439,0.2695100159167439,0.12,Uniform NW fixed-bandwidth sanity check
b=2,272,2.0,0.3,0.27824117658001424,0.27824117658001424,0.12,Uniform NW fixed-bandwidth sanity check
b=0,273,0.0,0.3,0.09981474494010979,0.09981474494010979,0.12,Uniform NW fixed-bandwidth sanity check
b=2,273,2.0,0.3,0.10849080346912113,0.10849080346912113,0.12,Uniform NW fixed-bandwidth sanity check
b=0,274,0.0,0.3,0.057234901778430075,0.057234901778430075,0.12,Uniform NW fixed-bandwidth sanity check
b=2,274,2.0,0.3,0.0490835669459803,0.0490835669459803,0.12,Uniform NW fixed-bandwidth sanity check
b=0,275,0.0,0.3,0.11868086516420154,0.11868086516420154,0.12,Uniform NW fixed-bandwidth sanity check
b=2,275,2.0,0.3,0.11565549010524268,0.11565549010524268,0.12,Uniform NW fixed-bandwidth sanity check
b=0,276,0.0,0.3,-0.021229087172434304,-0.021229087172434304,0.12,Uniform NW fixed-bandwidth sanity check
b=2,276,2.0,0.3,-0.01843410204185757,-0.01843410204185757,0.12,Uniform NW fixed-bandwidth sanity check
b=0,277,0.0,0.3,0.04229636138938088,0.04229636138938088,0.12,Uniform NW fixed-bandwidth sanity check
b=2,277,2.0,0.3,0.03287216208726347,0.03287216208726347,0.12,Uniform NW fixed-bandwidth sanity check
b=0,278,0.0,0.3,0.14376124952808333,0.14376124952808333,0.12,Uniform NW fixed-bandwidth sanity check
b=2,278,2.0,0.3,0.15687003128313737,0.15687003128313737,0.12,Uniform NW fixed-bandwidth sanity check
b=0,279,0.0,0.3,0.01762880159352814,0.01762880159352814,0.12,Uniform NW fixed-bandwidth sanity check
b=2,279,2.0,0.3,0.03542679047327875,0.03542679047327875,0.12,Uniform NW fixed-bandwidth sanity check
b=0,280,0.0,0.3,0.07161995361239848,0.07161995361239848,0.12,Uniform NW fixed-bandwidth sanity check
b=2,280,2.0,0.3,0.057980898347295654,0.057980898347295654,0.12,Uniform NW fixed-bandwidth sanity check
b=0,281,0.0,0.3,-0.01721753894796066,-0.01721753894796066,0.12,Uniform NW fixed-bandwidth sanity check
b=2,281,2.0,0.3,-0.020649539799256086,-0.020649539799256086,0.12,Uniform NW fixed-bandwidth sanity check
b=0,282,0.0,0.3,0.07944952468932054,0.07944952468932054,0.12,Uniform NW fixed-bandwidth sanity check
b=2,282,2.0,0.3,0.07271481105512122,0.07271481105512122,0.12,Uniform NW fixed-bandwidth sanity check
b=0,283,0.0,0.3,0.1116564319103977,0.1116564319103977,0.12,Uniform NW fixed-bandwidth sanity check
b=2,283,2.0,0.3,0.10184726846155297,0.10184726846155297,0.12,Uniform NW fixed-bandwidth sanity check
b=0,284,0.0,0.3,0.3510769725656609,0.3510769725656609,0.12,Uniform NW fixed-bandwidth sanity check
b=2,284,2.0,0.3,0.35255527964052136,0.35255527964052136,0.12,Uniform NW fixed-bandwidth sanity check
b=0,285,0.0,0.3,0.1454270276707428,0.1454270276707428,0.12,Uniform NW fixed-bandwidth sanity check
b=2,285,2.0,0.3,0.14324212677200351,0.14324212677200351,0.12,Uniform NW fixed-bandwidth sanity check
b=0,286,0.0,0.3,0.14896518537961595,0.14896518537961595,0.12,Uniform NW fixed-bandwidth sanity check
b=2,286,2.0,0.3,0.13982362661502223,0.13982362661502223,0.12,Uniform NW fixed-bandwidth sanity check
b=0,287,0.0,0.3,-0.01215213957445664,-0.01215213957445664,0.12,Uniform NW fixed-bandwidth sanity check
b=2,287,2.0,0.3,-0.018275410675201473,-0.018275410675201473,0.12,Uniform NW fixed-bandwidth sanity check
b=0,288,0.0,0.3,0.06342963443213767,0.06342963443213767,0.12,Uniform NW fixed-bandwidth sanity check
b=2,288,2.0,0.3,0.0566936549567055,0.0566936549567055,0.12,Uniform NW fixed-bandwidth sanity check
b=0,289,0.0,0.3,0.026463975412062742,0.026463975412062742,0.12,Uniform NW fixed-bandwidth sanity check
b=2,289,2.0,0.3,0.020458932208382186,0.020458932208382186,0.12,Uniform NW fixed-bandwidth sanity check
b=0,290,0.0,0.3,0.24433840598445425,0.24433840598445425,0.12,Uniform NW fixed-bandwidth sanity check
b=2,290,2.0,0.3,0.259028548974758,0.259028548974758,0.12,Uniform NW fixed-bandwidth sanity check
b=0,291,0.0,0.3,-0.12463146237387045,-0.12463146237387045,0.12,Uniform NW fixed-bandwidth sanity check
b=2,291,2.0,0.3,-0.1148172253330212,-0.1148172253330212,0.12,Uniform NW fixed-bandwidth sanity check
b=0,292,0.0,0.3,0.14064834941823517,0.14064834941823517,0.12,Uniform NW fixed-bandwidth sanity check
b=2,292,2.0,0.3,0.1513657274531235,0.1513657274531235,0.12,Uniform NW fixed-bandwidth sanity check
b=0,293,0.0,0.3,0.09737225770809207,0.09737225770809207,0.12,Uniform NW fixed-bandwidth sanity check
b=2,293,2.0,0.3,0.08900972505266273,0.08900972505266273,0.12,Uniform NW fixed-bandwidth sanity check
b=0,294,0.0,0.3,0.13761780453920355,0.13761780453920355,0.12,Uniform NW fixed-bandwidth sanity check
b=2,294,2.0,0.3,0.13869672726414412,0.13869672726414412,0.12,Uniform NW fixed-bandwidth sanity check
b=0,295,0.0,0.3,0.18518644732234638,0.18518644732234638,0.12,Uniform NW fixed-bandwidth sanity check
b=2,295,2.0,0.3,0.1833193753420957,0.1833193753420957,0.12,Uniform NW fixed-bandwidth sanity check
b=0,296,0.0,0.3,0.02876418016301439,0.02876418016301439,0.12,Uniform NW fixed-bandwidth sanity check
b=2,296,2.0,0.3,0.03682148809918914,0.03682148809918914,0.12,Uniform NW fixed-bandwidth sanity check
b=0,297,0.0,0.3,0.19144206091378319,0.19144206091378319,0.12,Uniform NW fixed-bandwidth sanity check
b=2,297,2.0,0.3,0.19434422520549766,0.19434422520549766,0.12,Uniform NW fixed-bandwidth sanity check
b=0,298,0.0,0.3,-0.09449729682678361,-0.09449729682678361,0.12,Uniform NW fixed-bandwidth sanity check
b=2,298,2.0,0.3,-0.07960686161286783,-0.07960686161286783,0.12,Uniform NW fixed-bandwidth sanity check
b=0,299,0.0,0.3,0.44878784266895566,0.44878784266895566,0.12,Uniform NW fixed-bandwidth sanity check
b=2,299,2.0,0.3,0.4576603800716638,0.4576603800716638,0.12,Uniform NW fixed-bandwidth sanity check
b=0,300,0.0,0.3,0.0006318981284229894,0.0006318981284229894,0.12,Uniform NW fixed-bandwidth sanity check
b=2,300,2.0,0.3,0.01649842045308167,0.01649842045308167,0.12,Uniform NW fixed-bandwidth sanity check
b=0,301,0.0,0.3,0.020947136644236995,0.020947136644236995,0.12,Uniform NW fixed-bandwidth sanity check
b=2,301,2.0,0.3,0.028892039052055927,0.028892039052055927,0.12,Uniform NW fixed-bandwidth sanity check
b=0,302,0.0,0.3,0.039700582435208666,0.039700582435208666,0.12,Uniform NW fixed-bandwidth sanity check
b=2,302,2.0,0.3,0.03385266960559825,0.03385266960559825,0.12,Uniform NW fixed-bandwidth sanity check
b=0,303,0.0,0.3,0.1194438877123807,0.1194438877123807,0.12,Uniform NW fixed-bandwidth sanity check
b=2,303,2.0,0.3,0.11709781443456907,0.11709781443456907,0.12,Uniform NW fixed-bandwidth sanity check
b=0,304,0.0,0.3,-0.055076112913692125,-0.055076112913692125,0.12,Uniform NW fixed-bandwidth sanity check
b=2,304,2.0,0.3,-0.05849977443972474,-0.05849977443972474,0.12,Uniform NW fixed-bandwidth sanity check
b=0,305,0.0,0.3,0.16391893319652687,0.16391893319652687,0.12,Uniform NW fixed-bandwidth sanity check
b=2,305,2.0,0.3,0.1586988967249282,0.1586988967249282,0.12,Uniform NW fixed-bandwidth sanity check
b=0,306,0.0,0.3,0.19055342422807275,0.19055342422807275,0.12,Uniform NW fixed-bandwidth sanity check
b=2,306,2.0,0.3,0.1963685205629023,0.1963685205629023,0.12,Uniform NW fixed-bandwidth sanity check
b=0,307,0.0,0.3,0.25973183567407165,0.25973183567407165,0.12,Uniform NW fixed-bandwidth sanity check
b=2,307,2.0,0.3,0.26076433728878345,0.26076433728878345,0.12,Uniform NW fixed-bandwidth sanity check
b=0,308,0.0,0.3,0.1763657778877374,0.1763657778877374,0.12,Uniform NW fixed-bandwidth sanity check
b=2,308,2.0,0.3,0.17209155026866824,0.17209155026866824,0.12,Uniform NW fixed-bandwidth sanity check
b=0,309,0.0,0.3,0.20115739231163074,0.20115739231163074,0.12,Uniform NW fixed-bandwidth sanity check
b=2,309,2.0,0.3,0.194132779714773,0.194132779714773,0.12,Uniform NW fixed-bandwidth sanity check
b=0,310,0.0,0.3,0.1779694812850604,0.1779694812850604,0.12,Uniform NW fixed-bandwidth sanity check
b=2,310,2.0,0.3,0.17981866117216816,0.17981866117216816,0.12,Uniform NW fixed-bandwidth sanity check
b=0,311,0.0,0.3,0.20077307994276117,0.20077307994276117,0.12,Uniform NW fixed-bandwidth sanity check
b=2,311,2.0,0.3,0.19994100903173262,0.19994100903173262,0.12,Uniform NW fixed-bandwidth sanity check
b=0,312,0.0,0.3,-0.011750799566825757,-0.011750799566825757,0.12,Uniform NW fixed-bandwidth sanity check
b=2,312,2.0,0.3,-0.012558560242544363,-0.012558560242544363,0.12,Uniform NW fixed-bandwidth sanity check
b=0,313,0.0,0.3,0.12897719093295984,0.12897719093295984,0.12,Uniform NW fixed-bandwidth sanity check
b=2,313,2.0,0.3,0.1304844489139621,0.1304844489139621,0.12,Uniform NW fixed-bandwidth sanity check
b=0,314,0.0,0.3,0.16838817260701974,0.16838817260701974,0.12,Uniform NW fixed-bandwidth sanity check
b=2,314,2.0,0.3,0.16727152930925065,0.16727152930925065,0.12,Uniform NW fixed-bandwidth sanity check
b=0,315,0.0,0.3,-0.2855236644955681,-0.2855236644955681,0.12,Uniform NW fixed-bandwidth sanity check
b=2,315,2.0,0.3,-0.30192767738154286,-0.30192767738154286,0.12,Uniform NW fixed-bandwidth sanity check
