A,b,h,method,family,repetitions,coverage,bias,absolute_bias,rmse,empirical_sd,mean_estimated_se,sd_over_mean_se,mean_width,fallback_rate,selected_lambda_mean,negative_weight_fraction,normalized_linear_imbalance,normalized_quadratic_imbalance,effective_sample_size
4.0,0.0,0.08,RKHS_LOCALIZATION_FIXED_H_LO,RKHS_LOCALIZATION,500,0.876,0.048464596880294274,0.37449985406367603,0.8453928148903926,0.8448477553838245,1.1385790095061352,0.7420194367980504,4.463147704370624,0.0,0.0005718263704932404,0.48511800000000005,0.00025198135548964626,4.6548064495090464e-05,156.70020886734233
4.0,0.0,0.08,RKHS_LOCALIZATION_FIXED_H_PPCI,RKHS_LOCALIZATION,500,0.98,0.00228388667197345,0.29668148091062474,0.38056824757991803,0.38094252761592823,0.3726708674406389,1.0221956178976264,1.4608429565419057,0.0,0.0005718263704932404,0.48511800000000005,0.00025198135548964626,4.6548064495090464e-05,156.70020886734233
4.0,0.0,0.2,NW_FIXED_H_LO,NW,500,0.652,0.18629480349661337,0.19171959110030512,0.2187891703287112,0.11484479045683428,0.11713664611790749,0.980434341113316,0.4591672153218244,,,0.0,0.0026161968488924016,0.04756331123781401,1816.9184273419298
4.0,0.0,0.2,NW_FIXED_H_PPCI,NW,500,0.652,0.18511609642691831,0.190495354292578,0.2174989758176327,0.11429769574179005,0.11621930374890627,0.9834656726969567,0.4555712993123543,,,0.0,0.0026161968488924016,0.04756331123781401,1816.9184273419298
4.0,0.0,0.2,RKHS_LOCALIZATION_FIXED_H_LO,RKHS_LOCALIZATION,500,0.93,-0.00425559950674782,0.21424990683457373,0.27546896270711213,0.27571193923121967,0.26479354371051034,1.0412336168311038,1.0379716180226655,0.0,0.0006175207796467599,0.4868292,0.0002460727875845004,0.00012736907767938244,329.95555366860197
4.0,0.0,0.2,RKHS_LOCALIZATION_FIXED_H_PPCI,RKHS_LOCALIZATION,500,0.968,0.0019255990627140545,0.20418107390688117,0.2601304178543459,0.2603838048207917,0.2656415755867278,0.9802072745792026,1.041295841892922,0.0,0.0006175207796467599,0.4868292,0.0002460727875845004,0.00012736907767938244,329.95555366860197
4.0,0.0,0.4,NW_FIXED_H_LO,NW,500,0.0,0.5877937199681021,0.5877937199681021,0.5954459952186583,0.09525030829587787,0.09700096217497887,0.9819522008870075,0.3802367846573814,,,0.0,0.003679130193112084,0.1477053743685404,3415.1933173708044
4.0,0.0,0.4,NW_FIXED_H_PPCI,NW,500,0.0,0.5878495267414978,0.5878495267414978,0.5942844672030975,0.08730524773018494,0.08586571381141331,1.0167649444099804,0.3365874131543872,,,0.0,0.003679130193112084,0.1477053743685404,3415.1933173708044
4.0,0.0,0.4,RKHS_LOCALIZATION_FIXED_H_LO,RKHS_LOCALIZATION,500,0.938,-0.007710491249073463,0.1589170601975132,0.19998523932080745,0.20003668068165614,0.20231477049126076,0.9887398739890668,0.7930593274067159,0.0,0.0006477148615292768,0.4478836,0.00024200740972724405,0.00025883686957196985,581.0579096041389
4.0,0.0,0.4,RKHS_LOCALIZATION_FIXED_H_PPCI,RKHS_LOCALIZATION,500,0.952,-0.004857401409524111,0.1558219290538173,0.19602630779976563,0.19616237752910456,0.20275556752679924,0.9674820766792349,0.7947872200350108,0.0,0.0006477148615292768,0.4478836,0.00024200740972724405,0.00025883686957196985,581.0579096041389
