dataset,x0_index,reference,kernel,bandwidth,bandwidth_over_h0,ess,theta0
blogfeedback,30,matern52_1.2h0,matern52,20.10611650945021,1.2,13684.625566916851,0.5400059145932743
blogfeedback,30,gaussian_ess_matched,gaussian,17.08673786310414,1.0197934258506711,13386.556380551208,0.5234527471350001
blogfeedback,31,matern52_0.8h0,matern52,9.758560566152171,0.8,11432.145751219783,0.4960050945008544
blogfeedback,31,matern52_h0,matern52,12.198200707690214,1.0,12274.617195784034,0.5118836534689178
blogfeedback,31,matern52_1.2h0,matern52,14.637840849228256,1.2,12835.690980804944,0.52584033898935
blogfeedback,31,gaussian_ess_matched,gaussian,12.251691983045317,1.0043851775058414,12274.617195784034,0.508997855994884
blogfeedback,32,matern52_0.8h0,matern52,14.616660514178367,0.8,13253.468852119853,0.5173183930504257
blogfeedback,32,matern52_h0,matern52,18.270825642722958,1.0,13622.564970264059,0.5365754960126006
blogfeedback,32,matern52_1.2h0,matern52,21.92499077126755,1.2,13862.44496892597,0.5516074676678707
blogfeedback,32,gaussian_ess_matched,gaussian,18.666908427990087,1.0216784283869997,13622.564970264059,0.5365312198886305
blogfeedback,33,matern52_0.8h0,matern52,9.445368117562067,0.8,10540.38102996604,0.4465895597648593
blogfeedback,33,matern52_h0,matern52,11.806710146952582,1.0,11654.854597727404,0.47150806226251174
blogfeedback,33,matern52_1.2h0,matern52,14.168052176343098,1.2,12391.610059058898,0.49173787057593255
blogfeedback,33,gaussian_ess_matched,gaussian,11.540900381576677,0.9774865511164841,11654.854597727404,0.4689182891326937
blogfeedback,34,matern52_0.8h0,matern52,14.48741462510202,0.8,13226.407232884836,0.5262599716933232
blogfeedback,34,matern52_h0,matern52,18.109268281377524,1.0,13605.289890272086,0.5435324474308562
blogfeedback,34,matern52_1.2h0,matern52,21.73112193765303,1.2,13851.53083346957,0.5572555624947365
blogfeedback,34,gaussian_ess_matched,gaussian,18.49966332473365,1.0215577480707811,13605.289890272086,0.5430273933899757
blogfeedback,35,matern52_0.8h0,matern52,13.092564503591753,0.8,12718.143870530708,0.49260521108466304
blogfeedback,35,matern52_h0,matern52,16.36570562948969,1.0,13241.222237666434,0.5151712281519913
blogfeedback,35,matern52_1.2h0,matern52,19.638846755387625,1.2,13580.895976360756,0.5328305570195165
blogfeedback,35,gaussian_ess_matched,gaussian,16.631299740440117,1.0162286990224147,13241.222237666438,0.5147794986072678
blogfeedback,36,matern52_0.8h0,matern52,16.476033711320948,0.7999999999999999,13232.295515259668,0.6131574795891693
blogfeedback,36,matern52_h0,matern52,20.595042139151186,1.0,13707.279001544008,0.612733067311018
blogfeedback,36,matern52_1.2h0,matern52,24.714050566981424,1.2,13968.899633795305,0.6139632566925993
blogfeedback,36,gaussian_ess_matched,gaussian,20.235202683021697,0.9825278601666255,13707.279001544008,0.6097750518712092
blogfeedback,37,matern52_0.8h0,matern52,9.488616017037602,0.8,10526.472819239285,0.4411746042556024
blogfeedback,37,matern52_h0,matern52,11.860770021297002,1.0,11645.49220006415,0.46706716143206634
blogfeedback,37,matern52_1.2h0,matern52,14.232924025556402,1.2,12385.312905578261,0.48803138225178455
blogfeedback,37,gaussian_ess_matched,gaussian,11.594418521083055,0.9775434900317862,11645.49220006415,0.46446970327508824
blogfeedback,38,matern52_0.8h0,matern52,28.485145623699733,0.8,14045.618396348276,0.6774289880250862
blogfeedback,38,matern52_h0,matern52,35.60643202962466,1.0,14252.927818825345,0.6607138647772136
blogfeedback,38,matern52_1.2h0,matern52,42.7277184355496,1.2,14351.532590835119,0.6516029828323439
blogfeedback,38,gaussian_ess_matched,gaussian,34.227615953139626,0.9612762077554454,14252.927818825347,0.6573412524225244
blogfeedback,39,matern52_0.8h0,matern52,9.870848730730236,0.8,10737.832543788572,0.447154197621644
blogfeedback,39,matern52_h0,matern52,12.338560913412794,1.0,11815.514861033082,0.4721923155713749
blogfeedback,39,matern52_1.2h0,matern52,14.806273096095351,1.2,12521.18542268742,0.4926221800422771
blogfeedback,39,gaussian_ess_matched,gaussian,12.097323501390619,0.9804484968939988,11815.514861033082,0.46933411774514144
blogfeedback,40,matern52_0.8h0,matern52,14.218088613740154,0.8,13179.567994942741,0.5169990173135549
blogfeedback,40,matern52_h0,matern52,17.77261076717519,1.0,13567.851259644483,0.5358894014081726
blogfeedback,40,matern52_1.2h0,matern52,21.32713292061023,1.2,13820.71729310868,0.550738938171467
blogfeedback,40,gaussian_ess_matched,gaussian,18.162437829217577,1.021934147275783,13567.851259644485,0.5356861368353828
blogfeedback,41,matern52_0.8h0,matern52,9.766896249507072,0.8,10639.580412311341,0.4386932843077198
blogfeedback,41,matern52_h0,matern52,12.20862031188384,1.0,11746.416368131222,0.46587935567734856
blogfeedback,41,matern52_1.2h0,matern52,14.650344374260607,1.2,12470.484691783458,0.4876199329624276
blogfeedback,41,gaussian_ess_matched,gaussian,11.934753340211303,0.9775677378216149,11746.416368131224,0.46338929174233606
blogfeedback,42,matern52_0.8h0,matern52,9.416293859376049,0.8,10524.846747524743,0.4477685768856159
blogfeedback,42,matern52_h0,matern52,11.77036732422006,1.0,11640.45710701969,0.47201287935981223
blogfeedback,42,matern52_1.2h0,matern52,14.124440789064073,1.2,12379.58489964063,0.49192690351051377
blogfeedback,42,gaussian_ess_matched,gaussian,11.510891533333165,0.9779551662459193,11640.45710701969,0.46916631982601736
blogfeedback,43,matern52_0.8h0,matern52,28.24412604940726,0.8,14008.321696040563,0.6845704700781923
blogfeedback,43,matern52_h0,matern52,35.305157561759074,1.0,14235.263450870307,0.6652791651593305
blogfeedback,43,matern52_1.2h0,matern52,42.366189074110885,1.2,14341.723300442265,0.65479663153589
blogfeedback,43,gaussian_ess_matched,gaussian,33.83541840834239,0.958370412287619,14235.263450870312,0.66155055279702
blogfeedback,44,matern52_0.8h0,matern52,14.041053899187554,0.8,13186.701790319014,0.5353951390515937
blogfeedback,44,matern52_h0,matern52,17.551317373984443,1.0,13578.070525056553,0.5506213080158435
blogfeedback,44,matern52_1.2h0,matern52,21.06158084878133,1.2,13831.730889709655,0.5629308581350088
blogfeedback,44,gaussian_ess_matched,gaussian,17.9106223427441,1.0204716809059724,13578.070525056553,0.5497334344494536
blogfeedback,45,matern52_0.8h0,matern52,11.237760061957362,0.8,11861.814497091358,0.530455085159564
blogfeedback,45,matern52_h0,matern52,14.047200077446702,1.0,12659.078177221072,0.5407056155862189
blogfeedback,45,matern52_1.2h0,matern52,16.85664009293604,1.2,13164.528648593041,0.5508617644220071
blogfeedback,45,gaussian_ess_matched,gaussian,14.016788275225018,0.9978350274749407,12659.078177221074,0.5363025751615503
blogfeedback,46,matern52_0.8h0,matern52,12.59549798782065,0.8,12613.343052313978,0.4896653458845972
blogfeedback,46,matern52_h0,matern52,15.74437248477581,1.0,13158.00345691587,0.5118761213875349
blogfeedback,46,matern52_1.2h0,matern52,18.89324698173097,1.2,13513.858517177512,0.5294255594406299
blogfeedback,46,gaussian_ess_matched,gaussian,16.002455516515287,1.016392081169893,13158.003456915872,0.5113194767013858
blogfeedback,47,matern52_0.8h0,matern52,18.17747700232689,0.8,13563.417450599838,0.5295516308480046
blogfeedback,47,matern52_h0,matern52,22.72184625290861,1.0,13869.84899624073,0.5488502892908906
blogfeedback,47,matern52_1.2h0,matern52,27.26621550349033,1.2,14059.230348978925,0.563364267236055
blogfeedback,47,gaussian_ess_matched,gaussian,23.008347109919576,1.0126090483062877,13869.84899624073,0.5489691661429664
blogfeedback,48,matern52_0.8h0,matern52,11.127589859993495,0.8,11840.005666966867,0.46724258347011144
blogfeedback,48,matern52_h0,matern52,13.909487324991868,1.0,12601.605415530106,0.49124937764210713
blogfeedback,48,matern52_1.2h0,matern52,16.69138478999024,1.2,13099.397100387356,0.5104596696156045
blogfeedback,48,gaussian_ess_matched,gaussian,13.951995759680232,1.0030560748714288,12601.605415530106,0.4898404920075119
blogfeedback,49,matern52_0.8h0,matern52,9.659895237891817,0.8,10618.568826081868,0.4411342910648395
blogfeedback,49,matern52_h0,matern52,12.074869047364771,1.0,11724.630969764747,0.46763251423405383
blogfeedback,49,matern52_1.2h0,matern52,14.489842856837726,1.2,12450.828265741577,0.48893055504672356
blogfeedback,49,gaussian_ess_matched,gaussian,11.811635404312092,0.97819987595558,11724.630969764747,0.4651200832536966
