sex,age,method,dataset,reference,method_family,n_reps,coverage,bias,abs_bias,rmse,width,theta0,theta_hat_mean,n_unlab_clusters,coverage_cluster_se
2,80,PPI_global,income,matern52_h0,PPI,300,0.37333333333333335,-0.680130445359145,0.680130445359145,0.7334282025408337,1.068767272844156,4.034632708558937,3.354502263199792,15,0.0348010216963685
2,90,GH_P1_c15,income,matern52_h0,PPCI,300,0.9666666666666667,0.29426393832682257,0.29426393832682257,0.47493857005185836,1.53508543070223,3.926217313455636,4.220481251782459,15,0.011615534207286162
2,90,LO_GH_P1_c15w,income,matern52_h0,LO,300,0.9466666666666667,0.2712342127982481,0.2712342127982481,0.49992775722762284,1.7130797980591077,3.926217313455636,4.197451526253884,15,0.01031257515605129
2,90,PPI_global,income,matern52_h0,PPI,300,0.4766666666666667,-0.5539216619238705,0.5539216619238705,0.6102295135671303,1.0770456806627597,3.926217313455636,3.3722956515317652,15,0.03581256319421555
2,100,GH_P1_c15,income,matern52_h0,PPCI,300,0.91,0.3363890060779379,0.3363890060779379,0.5275964995619995,1.5341711041638573,3.8480696065003497,4.184458612578287,15,0.0202366946294055
2,100,LO_GH_P1_c15w,income,matern52_h0,LO,300,0.9166666666666666,0.34186510770269724,0.34186510770269724,0.5775626502655754,1.7146902330241465,3.8480696065003497,4.189934714203047,15,0.01666666666666666
2,100,PPI_global,income,matern52_h0,PPI,300,0.53,-0.4856529588684062,0.4856529588684062,0.559253217089254,1.0761283018475454,3.8480696065003497,3.3624166476319433,15,0.024784787961282105
1,70,GH_P1_c22,income,matern52_1.2h0,PPCI,300,0.9566666666666667,0.31627557724295535,0.31627557724295535,0.6519550774532007,2.3495554427586653,6.618107050477001,6.934382627719957,15,0.01181873680570558
1,70,LO_GH_P1_c22w,income,matern52_1.2h0,LO,300,0.95,0.34613879064943137,0.34613879064943137,0.7466975229282119,2.6653805401537576,6.618107050477001,6.9642458411264325,15,0.013801311186847085
1,70,PPI_global,income,matern52_1.2h0,PPI,300,0.16,-1.3083589169222565,1.3083589169222565,1.3649328871474156,1.625560239635777,6.618107050477001,5.309748133554745,15,0.02449489742783178
