dataset,sex,age,reference,kernel,bandwidth,bandwidth_over_h0,ess,theta0
income,2,88,matern52_1.2h0,matern52,2.338309901907624,1.2,169826.12532459942,3.843667701927889
income,2,88,gaussian_ess_matched,gaussian,1.8582346216725019,0.9536296040947505,157397.05077305457,3.998141502640822
income,2,89,matern52_0.8h0,matern52,1.592761817241425,0.8,138441.9463339334,4.045621380635064
income,2,89,matern52_h0,matern52,1.9909522715517813,1.0,158194.65865712147,3.9354155829951476
income,2,89,matern52_1.2h0,matern52,2.3891427258621376,1.2,170445.48585515344,3.8348133421529
income,2,89,gaussian_ess_matched,gaussian,1.8976088047899065,0.9531161705402805,158194.6586571215,3.987678605199029
income,2,90,matern52_0.8h0,matern52,1.6266503665444345,0.8,139342.32246235615,4.036738055635826
income,2,90,matern52_h0,matern52,2.033312958180543,1.0,158976.08989908893,3.926217313455636
income,2,90,matern52_1.2h0,matern52,2.4399755498166513,1.2,171045.24934354154,3.826270645726953
income,2,90,gaussian_ess_matched,gaussian,1.9370428825791208,0.9526535867417247,158976.08989908893,3.9775071028030196
income,2,91,matern52_0.8h0,matern52,1.6605389158474435,0.8,140240.30162652687,4.028113297410534
income,2,91,matern52_h0,matern52,2.0756736448093043,1.0,159741.18811223874,3.917310378326564
income,2,91,matern52_1.2h0,matern52,2.490808373771165,1.2,171625.94497598035,3.8180228443967135
income,2,91,gaussian_ess_matched,gaussian,1.9765354350390802,0.9522380553329558,159741.18811223874,3.9676151856208706
income,2,92,matern52_0.8h0,matern52,1.6944274651504525,0.8,141134.66929108123,4.019730460265062
income,2,92,matern52_h0,matern52,2.1180343314380656,1.0,160489.8326928608,3.908679409521226
income,2,92,matern52_1.2h0,matern52,2.5416411977256788,1.2,172188.09660439804,3.8100544073923563
income,2,92,gaussian_ess_matched,gaussian,2.0160846807009,0.951865912075209,160489.8326928609,3.9579919318322028
income,2,93,matern52_0.8h0,matern52,1.7283160144534613,0.8,142024.24774595594,4.011574532651265
income,2,93,matern52_h0,matern52,2.1603950180668265,1.0,161221.9421863966,3.9003102404859185
income,2,93,matern52_1.2h0,matern52,2.5924740216801916,1.2,172732.22387027746,3.802350927566184
income,2,93,gaussian_ess_matched,gaussian,2.055688556894638,0.9515336499591253,161221.9421863966,3.9486271882915633
income,2,94,matern52_0.8h0,matern52,1.7622045637564705,0.8,142907.90962833614,4.003631962647477
income,2,94,matern52_h0,matern52,2.202755704695588,1.0,161937.47555703437,3.892189787735293
income,2,94,matern52_1.2h0,matern52,2.6433068456347053,1.2,173258.842538677,3.7948990189696445
income,2,94,gaussian_ess_matched,gaussian,2.095344781989155,0.9512379323419904,161937.47555703437,3.9395114724658034
income,2,95,matern52_0.8h0,matern52,1.7960931130594795,0.8,143784.5870231491,3.9958904952362726
income,2,95,matern52_h0,matern52,2.2451163913243493,1.0,162636.43187585074,3.884305943860986
income,2,95,matern52_1.2h0,matern52,2.694139669589219,1.2,173768.46428278278,3.787686224863033
income,2,95,gaussian_ess_matched,gaussian,2.135050902024871,0.9509755976461635,162636.43187585077,3.9306358919937354
income,2,96,matern52_0.8h0,matern52,1.8299816623624885,0.8,144653.27934806628,3.988339033343098
income,2,96,matern52_h0,matern52,2.2874770779531106,1.0,163318.8493946781,3.8766474837813947
income,2,96,matern52_1.2h0,matern52,2.7449724935437327,1.2,174261.59626484962,3.780700935880613
income,2,96,gaussian_ess_matched,gaussian,2.1748043379540505,0.9507436638010457,163318.8493946781,3.92199207388832
income,2,97,matern52_0.8h0,matern52,1.8638702116654977,0.8,145513.0630125519,3.980967530839112
income,2,97,matern52_h0,matern52,2.329837764581872,1.0,163984.80482810663,3.8692039851621747
income,2,97,matern52_1.2h0,matern52,2.7958053174982465,1.2,174738.74078857317,3.7739323179138102
income,2,97,gaussian_ess_matched,gaussian,2.214602451323464,0.9505393401162039,163984.80482810666,3.9135720961377154
income,2,98,matern52_0.8h0,matern52,1.8977587609685067,0.8,146363.09860814945,3.9737668936351214
income,2,98,matern52_h0,matern52,2.3721984512106333,1.0,164634.41194589314,3.8619657565991563
income,2,98,matern52_1.2h0,matern52,2.8466381414527597,1.2,175200.3947791203,3.76737024711208
income,2,98,gaussian_ess_matched,gaussian,2.254442604452841,0.9503600355620768,164634.41194589314,3.9053684295848163
income,2,99,matern52_0.8h0,matern52,1.931647310271516,0.8,147202.6341981674,3.9667288819945394
income,2,99,matern52_h0,matern52,2.4145591378393947,1.0,165267.81926981485,3.854923771298002
income,2,99,matern52_1.2h0,matern52,2.8974709654072734,1.2,175647.04905246058,3.761005250765983
income,2,99,gaussian_ess_matched,gaussian,2.2943222047663046,0.9502033596159168,165267.81926981485,3.897373892147924
income,2,100,matern52_0.8h0,matern52,1.965535859574525,0.8,148031.00562368907,3.9598460176532657
income,2,100,matern52_h0,matern52,2.456919824468156,1.0,165885.20719133315,3.8480696065003497
