setting,method,x0_index,x0_1,n_reps,n_unlab_clusters,coverage,coverage_cluster_se,coverage_cluster_sd,bias,rmse,se_mean,width,emp_sd,omega_mean,omega_clipped_rate,omega_sd_mean,omega_min_mean,omega_max_mean,sigma2_Y_mean,sigma2_Y_minus_f_mean,sigma2_f_mean,tuning_seconds_mean_per_unlab_draw,estimation_seconds_mean,amortized_procedure_seconds_mean,x0_2,x0_3
base_q0.9_s1,LO,7,0.85,1000,50,0.927,0.0078519463335207,0.0555216449794536,-0.0230134578509756,0.2978160332829949,0.2718362976117748,1.0655982866381573,0.2970741043268849,,,,,,37.278428901572575,,,11.286751673445105,0.0033356081182137,0.567673191790469,0.85,0.85
base_q0.9_s1,PPCI,0,0.7,1000,50,0.958,0.0055988336977901,0.0395897327444314,-0.00775936389595,0.2921769909621911,0.2844121974020306,1.11489581381596,0.2922200864050058,1.0,,,,,46.656629546314974,43.02536556630411,11.820338592290277,11.370885759796948,0.0033709048843011,0.5719151928741485,0.7,0.7
base_q0.9_s1,PPCI,1,0.7,1000,50,0.954,0.0058623670081951,0.0414531946529911,-0.0188217738446697,0.2705422464144751,0.2686084824749366,1.0529452513017517,0.2700217763144571,1.0,,,,,43.55433328596544,38.32370532192692,11.382667884060528,11.36372777696699,0.0033703848086297,0.5715567736569792,0.7,0.85
base_q0.9_s1,PPCI,2,0.7,1000,50,0.965,0.0073192505471139,0.0517549169506765,-0.0071568338752146,0.2764202580412875,0.2686889484413242,1.053260677889991,0.2764658607435124,1.0,,,,,44.16164697250053,38.406675047204565,10.766631461287812,11.365334635414182,0.0033729925956577,0.5716397243663668,0.85,0.7
base_q0.9_s1,PPCI,3,0.7,1000,50,0.944,0.0069458547320818,0.0491146098219173,0.030567576022945,0.2601679991582849,0.2547143792786883,0.9984803667724582,0.2584953208725833,1.0,,,,,39.13508388481624,34.44330674574195,8.698053043941275,11.3846619046852,0.0033835975928232,0.5726166928270832,0.85,0.85
base_q0.9_s1,PPCI,4,0.85,1000,50,0.954,0.0063631592718057,0.0449943307086389,-0.0113786364287883,0.2800076492358761,0.2731304216291134,1.0706712527861244,0.2799163507675997,1.0,,,,,42.87513487517473,39.56622753822565,10.271523787178834,11.38797388382256,0.0033832355840131,0.5727819297751412,0.7,0.7
base_q0.9_s1,PPCI,5,0.85,1000,50,0.948,0.006540298938434,0.0462468973035389,0.0091440863456867,0.2627526190329023,0.2558650076467261,1.0029908299751664,0.2627248538726295,1.0,,,,,37.82596469035095,35.01861156298427,8.482205661074655,11.3816378422454,0.0033832932766526,0.5724651853889227,0.7,0.85
base_q0.9_s1,PPCI,6,0.85,1000,50,0.962,0.0056351665495188,0.0398466448028038,-0.0036715282614672,0.2597552734167505,0.2585948109086863,1.0136916587620504,0.2598592865318322,1.0,,,,,39.50013648945727,35.765481354185134,7.976843375449939,11.26392232492566,0.0033825342757627,0.5665786505220458,0.85,0.7
base_q0.9_s1,PPCI,7,0.85,1000,50,0.949,0.0073526338471187,0.0519909725287938,-0.0020731534976665,0.2641141175099769,0.2507158329091798,0.9828060650039848,0.2642381329285054,1.0,,,,,37.19618372617492,33.903433254173805,7.861562031638109,11.286751673445105,0.0033865341516211,0.5677241178238764,0.85,0.85
base_q0.9_s1,PPCI++,0,0.7,1000,50,0.943,0.0071442855714571,0.0505177277431054,-0.0093912872524642,0.3042380911748177,0.2864925990591481,1.1230509883118605,0.3042452711719097,0.6657989182513814,0.2106,0.1578582332045615,0.4561616366635005,0.8381997340948356,46.40860698369652,42.82304326987879,12.165744612310045,11.370885759796948,0.0015749965505674,0.5701192845404148,0.7,0.7
base_q0.9_s1,PPCI++,1,0.7,1000,50,0.947,0.0057870368858654,0.0409205302497214,-0.0171673257528505,0.2807736671046131,0.2691198662702588,1.0549498757794145,0.2803885746935604,0.7106652230333106,0.2118,0.1459186658513683,0.5065909346206873,0.8595076984704297,43.37513637148438,38.409923425648806,11.547434477659124,11.36372777696699,0.001570425581187,0.5697568144295365,0.7,0.85
base_q0.9_s1,PPCI++,2,0.7,1000,50,0.952,0.0086849623734689,0.061411957886299,-0.0088970477764557,0.2768229328279157,0.2679333406305983,1.0502986952719453,0.2768183647943171,0.7468827241786693,0.238,0.1441933170487717,0.5411879283247623,0.8884529502930487,43.995640341004616,38.76213077219856,10.801674086164798,11.365334635414182,0.0015763624636456,0.5698430942343548,0.85,0.7
base_q0.9_s1,PPCI++,3,0.7,1000,50,0.937,0.0068228308207197,0.048244699402195,0.027323129176657,0.2662205117310039,0.256158002399186,1.004139369404809,0.2649471730039708,0.7309622442526706,0.234,0.1511641007419255,0.5133019892651788,0.8783924773908097,39.08619254727078,34.845687626568505,8.864624320215,11.3846619046852,0.0015808413950726,0.5708139366293326,0.85,0.85
base_q0.9_s1,PPCI++,4,0.85,1000,50,0.943,0.0074244494058207,0.0524987852143227,-0.0100134802840684,0.2857552480206366,0.2714671281237367,1.064151142245048,0.2857226442082416,0.6472734769732919,0.2144,0.1645646035233588,0.434340137646694,0.8324741586191017,42.70257106434331,39.26987346057221,10.342994655472031,11.38797388382256,0.0015816725855693,0.5709803667766973,0.7,0.7
base_q0.9_s1,PPCI++,5,0.85,1000,50,0.924,0.0082363058887997,0.05823947745897,0.0064447312958854,0.2709900087537812,0.2559809004155814,1.0034451296290792,0.271048921415856,0.6425284162355747,0.2124,0.169687419866558,0.4199554641619737,0.8296141965182552,37.74914123380103,35.047157879162434,8.701222759193787,11.3816378422454,0.0015786164989694,0.5706605086112395,0.7,0.85
base_q0.9_s1,PPCI++,6,0.85,1000,50,0.956,0.0056496342666529,0.0399489470117416,-0.0028501652765541,0.2613941712392362,0.2578029613810687,1.0105876086137888,0.2615094195095765,0.6844212994945917,0.2546,0.1723121950663019,0.4421230146050148,0.8587884848523148,39.33357847855988,36.14189597523957,8.00127147979248,11.26392232492566,0.0016231336332857,0.5648192498795689,0.85,0.7
base_q0.9_s1,PPCI++,7,0.85,1000,50,0.936,0.0076983963344614,0.0544358825235932,-0.004244814608851,0.2698168595654355,0.2514164027706848,0.9855522988610848,0.269918460335562,0.6594718425454766,0.2444,0.1747403401866302,0.4100801572862164,0.8340641696702384,37.0589077258124,34.16220956876689,7.991418642923278,11.286751673445105,0.0016120619745925,0.5659496456468478,0.85,0.85
base_q0.9_s1,PPI,0,0.7,1000,50,0.0,0.0,0.0,1.371307652927006,1.3720742156683132,0.0458629672431776,0.1797828315932565,0.045881144330195,,,,,,,,,0.0,8.346033189445734e-05,8.346033189445734e-05,0.7,0.7
base_q0.9_s1,PPI,1,0.7,1000,50,0.0,0.0,0.0,1.314732798343956,1.3155086738792752,0.0458545346115916,0.1797497756774394,0.0451971547010705,,,,,,,,,0.0,8.289228100329637e-05,8.289228100329637e-05,0.7,0.85
base_q0.9_s1,PPI,2,0.7,1000,50,0.0,0.0,0.0,1.0566542607511396,1.057638067844079,0.0458053144545325,0.1795568326617676,0.0456304495632801,,,,,,,,,0.0,8.338668849319219e-05,8.338668849319219e-05,0.85,0.7
base_q0.9_s1,PPI,3,0.7,1000,50,0.0,0.0,0.0,0.9987315878065844,0.9998086528848544,0.0457154617090847,0.1792046098996122,0.0464188820780872,,,,,,,,,0.0,8.569395542144775e-05,8.569395542144775e-05,0.85,0.85
base_q0.9_s1,PPI,4,0.85,1000,50,0.0,0.0,0.0,1.4498742723049762,1.4505892888894605,0.0456810526523802,0.1790697263973305,0.0455626547125007,,,,,,,,,0.0,8.484793175011873e-05,8.484793175011873e-05,0.7,0.7
base_q0.9_s1,PPI,5,0.85,1000,50,0.0,0.0,0.0,1.3937466120321338,1.394472890368469,0.0457223250817604,0.179231514320501,0.0450227772578932,,,,,,,,,0.0,8.497904427349568e-05,8.497904427349568e-05,0.7,0.85
base_q0.9_s1,PPI,6,0.85,1000,50,0.0,0.0,0.0,1.072243591291277,1.073220582817225,0.0458264137905209,0.1796395420588422,0.0458060969287266,,,,,,,,,0.0,8.676663413643838e-05,8.676663413643838e-05,0.85,0.7
base_q0.9_s1,PPI,7,0.85,1000,50,0.0,0.0,0.0,1.0165834551092707,1.017586369597976,0.0458132486555278,0.179587934729669,0.045190049017633,,,,,,,,,0.0,8.610423374921084e-05,8.610423374921084e-05,0.85,0.85
